Measure,Electrode,Band,Condition,Comparison,p_value,AUC
A,F7,Original,Eyes_closed,B_vs_D,0.0017110810410849021,0.7822916666666667
A,P4,Original,Eyes_open,A_vs_C,0.0017897924745294595,0.7920454545454546
E,F4,alpha,Eyes_closed,B_vs_D,0.0018514127729834888,0.7802083333333334
E,T4,theta,Eyes_open,A_vs_C,0.0019438009044831402,0.7897727272727273
E,F7,beta,Eyes_closed,B_vs_D,0.0020022489676110307,0.7781250000000001
F,P4,Original,Eyes_open,A_vs_C,0.0021974559969797996,0.7863636363636364
E,F8,alpha,Eyes_open,A_vs_C,0.002383046987173661,0.7840909090909092
E,Fp1,alpha,Eyes_open,A_vs_C,0.002481126630853186,0.7829545454545455
E,T4,alpha,Eyes_open,A_vs_C,0.0025828867484364738,0.7818181818181817
F,O2,Original,Eyes_open,A_vs_C,0.0027979416771722644,0.7795454545454545
F,O1,Original,Eyes_open,A_vs_C,0.0032778391635872664,0.7749999999999999
E,Fp2,alpha,Eyes_closed,B_vs_D,0.003290906461833123,0.7645833333333333
A,Pz,Original,Eyes_open,A_vs_C,0.00347581924911919,0.7732954545454545
E,F3,beta,Eyes_open,A_vs_C,0.003982726198202476,0.7693181818181819
E,Cz,beta,Eyes_open,A_vs_C,0.003982726198202476,0.7693181818181818
E,Fp2,beta,Eyes_closed,B_vs_D,0.005109637472008597,0.7520833333333333
E,T3,alpha,Eyes_closed,B_vs_D,0.00529617391924674,0.7510416666666666
F,Fp2,Original,Eyes_closed,B_vs_D,0.00529617391924674,0.7510416666666667
F,Pz,Original,Eyes_open,A_vs_C,0.005606552381336611,0.759090909090909
A,Fz,Original,Eyes_open,A_vs_C,0.0058195036183537885,0.7579545454545455
A,O1,Original,Eyes_open,A_vs_C,0.005819699116706688,0.7579545454545454
I,T6,Original,Eyes_open,A_vs_C,0.009010283474056236,0.2556818181818182
E,Fp2,alpha,Eyes_open,A_vs_C,0.009336290761977499,0.7431818181818183
E,C3,alpha,Eyes_closed,B_vs_D,0.010571354232065972,0.7302083333333333
A,T4,Original,Eyes_open,A_vs_C,0.010748036790474702,0.7386363636363636
E,T3,alpha,Eyes_open,A_vs_C,0.011129375064064041,0.7374999999999999
A,C3,Original,Eyes_open,A_vs_C,0.011522684051048214,0.7363636363636363
A,Fp2,Original,Eyes_open,A_vs_C,0.011522684051048214,0.7363636363636363
E,Cz,beta,Eyes_closed,B_vs_D,0.012066955960389588,0.7260416666666667
E,T5,beta,Eyes_open,A_vs_C,0.013680053870295911,0.7306818181818182
F,C3,Original,Eyes_open,A_vs_C,0.014152032906440893,0.7295454545454545
I,T4,Original,Eyes_open,A_vs_C,0.014638323103393186,0.2715909090909091
A,F4,Original,Eyes_closed,B_vs_D,0.014662316396427564,0.7197916666666667
E,T6,beta,Eyes_open,A_vs_C,0.016733885559610768,0.7238636363636364
A,P3,Original,Eyes_open,A_vs_C,0.017295475788088294,0.7227272727272728
F,T4,Original,Eyes_open,A_vs_C,0.01787719206980135,0.7215909090909092
E,C4,beta,Eyes_open,A_vs_C,0.01908836463105826,0.7193181818181819
F,T3,Original,Eyes_open,A_vs_C,0.01972041780104296,0.7181818181818181
A,O2,Original,Eyes_open,A_vs_C,0.021039037759308325,0.7159090909090909
A,T3,Original,Eyes_open,A_vs_C,0.021727484715353993,0.7147727272727272
F,F7,Original,Eyes_closed,B_vs_D,0.02719365571142041,0.6989583333333333
E,Fp1,beta,Eyes_open,A_vs_C,0.027970940033735302,0.7056818181818182
E,F4,beta,Eyes_open,A_vs_C,0.02885087866603033,0.7045454545454545
F,C4,Original,Eyes_open,A_vs_C,0.02885087866603033,0.7045454545454545
A,F7,Original,Eyes_open,A_vs_C,0.030682445754326965,0.7022727272727272
F,F3,Original,Eyes_open,A_vs_C,0.033616648440540076,0.6988636363636365
E,T6,delta,Eyes_closed,B_vs_D,0.03434720785167209,0.309375
E,P3,delta,Eyes_closed,B_vs_D,0.03434720785167209,0.30937499999999996
E,T4,alpha,Eyes_closed,B_vs_D,0.041869871943888776,0.6833333333333333
E,O1,alpha,Eyes_closed,B_vs_D,0.041869871943888776,0.31666666666666665
F,P3,Original,Eyes_open,A_vs_C,0.042638337014797405,0.6897727272727272
A,Cz,Original,Eyes_closed,B_vs_D,0.04365011515417946,0.6817708333333333
A,C3,Original,Eyes_closed,B_vs_D,0.045496395348143495,0.6802083333333333
E,O2,alpha,Eyes_closed,B_vs_D,0.04676373883927382,0.3208333333333333
F,F3,Original,Eyes_closed,B_vs_D,0.048059787909958705,0.678125
E,T5,delta,Eyes_closed,B_vs_D,0.05354962861516001,0.3260416666666667
E,C3,beta,Eyes_open,A_vs_C,0.05831745350222329,0.6772727272727272
I,C3,Original,Eyes_closed,B_vs_D,0.059553551822201976,0.3302083333333333
I,T6,Original,Eyes_closed,B_vs_D,0.059553551822201976,0.6697916666666667
E,T3,beta,Eyes_open,A_vs_C,0.05995445295498426,0.6761363636363638
E,C3,beta,Eyes_closed,B_vs_D,0.06783329799141408,0.6645833333333333
E,P4,delta,Eyes_closed,B_vs_D,0.07140016707657694,0.3375
E,Pz,delta,Eyes_closed,B_vs_D,0.07140016707657694,0.3375
F,F4,Original,Eyes_open,A_vs_C,0.07851425499850395,0.6647727272727273
E,Cz,alpha,Eyes_closed,B_vs_D,0.0789951498783328,0.6583333333333333
I,Fz,Original,Eyes_closed,B_vs_D,0.08099321250530685,0.6572916666666666
I,Fz,Original,Eyes_open,A_vs_C,0.08714201665523656,0.3397727272727272
E,Fz,beta,Eyes_open,A_vs_C,0.09173437396163284,0.6579545454545455
E,T4,beta,Eyes_open,A_vs_C,0.09173437396163284,0.6579545454545455
I,O2,Original,Eyes_open,A_vs_C,0.0965192268957859,0.34431818181818186
I,P4,Original,Eyes_open,A_vs_C,0.0965192268957859,0.34431818181818186
E,C4,alpha,Eyes_closed,B_vs_D,0.10578893610940071,0.6458333333333333
E,F7,beta,Eyes_open,A_vs_C,0.10668684578459274,0.6511363636363636
E,P4,beta,Eyes_open,A_vs_C,0.10935701377658864,0.6500000000000001
I,Cz,Original,Eyes_open,A_vs_C,0.11485566145330241,0.3522727272727273
F,T6,Original,Eyes_closed,B_vs_D,0.11889175127402955,0.640625
I,O2,Original,Eyes_closed,B_vs_D,0.1216589330871111,0.6395833333333334
F,F4,Original,Eyes_closed,B_vs_D,0.1216589330871111,0.6395833333333334
